clip,duration,motion_mean,motion_peak,motion_contrast,audio_delta,visible_ratio,label
eb70906569d712af8429563f136814fe.mp4,7.333,12.1459,25.0503,2.0625,0.1259,,
fd5d286a04ceb6befee8afd03061ddaa.mp4,8.7,9.1882,21.9355,2.3874,0.0579,,
